Title,Price,Rating,Link,Base_Model
Primebook 2 Max (2025) in-Built AI MediaTek Helio G99 (MT8781) - (8 GB/256 GB/Android 15) PBG9915256#4...,20990,4.4,https://www.flipkart.com/primebook-2-max-2025-in-built-ai-mediatek-helio-g99-mt8781-8-gb-256-gb-android-15-pbg9915256-4278c-laptop/p/itmf01b454e9ac40?pid=COMHDGD5CQJVZUH7&lid=LSTCOMHDGD5CQJVZUH73W3DYP&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_1&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_8_L1_view-all&fm=organic&iid=en_tDCWSUpiTYWWZT5fHkfrXAcHvN4qK8Xca4EOZsaj6RE37Gmmtp6fShWFKYRWSSlmN_e5lWJiKhLVrlgA7axuDfUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=r8evhbaoj40000001763351673103,Primebook 2 Max (2025) in
Primebook 2 Pro (2025) in-Built AI MediaTek Helio G99 (MT8781) - (8 GB/128 GB/Android 15) PBG9914128#4...,18990,4.4,https://www.flipkart.com/primebook-2-pro-2025-in-built-ai-mediatek-helio-g99-mt8781-8-gb-128-gb-android-15-pbg9914128-4278c-laptop/p/itmdbf8db6a6f79a?pid=COMHDGD5FH6NZPHD&lid=LSTCOMHDGD5FH6NZPHDQWCW0N&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_2&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_8_L1_view-all&fm=organic&iid=en_tDCWSUpiTYWWZT5fHkfrXAcHvN4qK8Xca4EOZsaj6RG75zanoOj4FPd2TOlD32xBRtpPtkRFF1730EY93LnT9_UFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=r8evhbaoj40000001763351673103,Primebook 2 Pro (2025) in
Apple MacBook AIR M2 - (16 GB/256 GB SSD/macOS Sequoia) MC7W4HN/A,66990,4.6,https://www.flipkart.com/apple-macbook-air-m2-16-gb-256-gb-ssd-macos-sequoia-mc7w4hn-a/p/itm2ea42dec44bca?pid=COMH64PYZU4ZZR79&lid=LSTCOMH64PYZU4ZZR79AHLYXY&marketplace=FLIPKART&store=6bo%2Fb5g&spotlightTagId=default_BestsellerId_6bo%2Fb5g&srno=b_1_3&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_8_L1_view-all&fm=organic&iid=53aaeb94-3407-4a90-9ecd-5600a88cc19c.COMH64PYZU4ZZR79.SEARCH&ppt=None&ppn=None&ssid=r8evhbaoj40000001763351673103,Apple MacBook AIR M2
Acer Aspire 3 Intel Celeron Dual Core - (8 GB/512 GB SSD/Windows 11 Home) A311-45 Thin and Light Lapto...,22899,3.8,https://www.flipkart.com/acer-aspire-3-intel-celeron-dual-core-8-gb-512-gb-ssd-windows-11-home-a311-45-thin-light-laptop/p/itmad38595c5a902?pid=COMH7NCZY2QDJ5Z4&lid=LSTCOMH7NCZY2QDJ5Z4DVC9YB&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_4&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_8_L1_view-all&fm=organic&iid=53aaeb94-3407-4a90-9ecd-5600a88cc19c.COMH7NCZY2QDJ5Z4.SEARCH&ppt=None&ppn=None&ssid=r8evhbaoj40000001763351673103,Acer Aspire 3 Intel Celeron Dual Core
Apple MacBook AIR M2 - (16 GB/256 GB SSD/macOS Sequoia) MC7X4HN/A,66990,4.6,https://www.flipkart.com/apple-macbook-air-m2-16-gb-256-gb-ssd-macos-sequoia-mc7x4hn-a/p/itmdc5308fa78421?pid=COMH64PY76CJKBYU&lid=LSTCOMH64PY76CJKBYUOL7TOK&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_5&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_8_L1_view-all&fm=organic&iid=53aaeb94-3407-4a90-9ecd-5600a88cc19c.COMH64PY76CJKBYU.SEARCH&ppt=None&ppn=None&ssid=r8evhbaoj40000001763351673103,Apple MacBook AIR M2
"ASUS Vivobook 15 (2025) with Office 2024 + M365 Basic*, Intel Core i3 13th Gen 1315U - (8 GB/512 GB SS...",34990,4.3,https://www.flipkart.com/asus-vivobook-15-2025-office-2024-m365-basic-intel-core-i3-13th-gen-1315u-8-gb-512-gb-ssd-windows-11-home-x1504va-nj3700ws-thin-light-laptop/p/itmf31c79724a398?pid=COMHCQ5ECZZV6THK&lid=LSTCOMHCQ5ECZZV6THKTW8YMF&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_6&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_8_L1_view-all&fm=organic&iid=en_tDCWSUpiTYWWZT5fHkfrXAcHvN4qK8Xca4EOZsaj6RG1dbYVd6GPMwmhuCBYvkqHmgzLys427L8BmKThf3QY0xhTy0lUJ14SzoMSv_CzLF0%3D&ppt=None&ppn=None&ssid=r8evhbaoj40000001763351673103,"ASUS Vivobook 15 (2025) with Office 2024 + M365 Basic*, Intel Core i3 13th Gen 1315U"
Acer Aspire 3 Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) A324-51 Thin and Light ...,25990,4.2,https://www.flipkart.com/acer-aspire-3-intel-core-i3-12th-gen-1215u-8-gb-512-gb-ssd-windows-11-home-a324-51-thin-light-laptop/p/itm7dda0a4d1d62a?pid=COMHY24RJH2YXVPG&lid=LSTCOMHY24RJH2YXVPGTVAAXW&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_7&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_8_L1_view-all&fm=organic&iid=53aaeb94-3407-4a90-9ecd-5600a88cc19c.COMHY24RJH2YXVPG.SEARCH&ppt=None&ppn=None&ssid=r8evhbaoj40000001763351673103,Acer Aspire 3 Intel Core i3 12th Gen 1215U
Acer Aspire 3 Intel Celeron Dual Core - (8 GB/128 GB SSD/Windows 11 Home) A311-45 Thin and Light Lapto...,15990,3.8,https://www.flipkart.com/acer-aspire-3-intel-celeron-dual-core-8-gb-128-gb-ssd-windows-11-home-a311-45-thin-light-laptop/p/itmad38595c5a902?pid=COMH7NCZGGGWQC4W&lid=LSTCOMH7NCZGGGWQC4WQSQGVR&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_8&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_8_L1_view-all&fm=organic&iid=53aaeb94-3407-4a90-9ecd-5600a88cc19c.COMH7NCZGGGWQC4W.SEARCH&ppt=None&ppn=None&ssid=r8evhbaoj40000001763351673103,Acer Aspire 3 Intel Celeron Dual Core
Samsung Galaxy Book4 Metal Intel Core i5 13th Gen 1335U - (16 GB/512 GB SSD/Windows 11 Home) NP750XGJ-...,50990,4.4,https://www.flipkart.com/samsung-galaxy-book4-metal-intel-core-i5-13th-gen-1335u-16-gb-512-gb-ssd-windows-11-home-np750xgj-kg2in-np750xgj-lg2in-thin-light-laptop/p/itm1df5212efb9fc?pid=COMGZUYDGFJGHZR4&lid=LSTCOMGZUYDGFJGHZR4JPVIN2&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_9&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_8_L1_view-all&fm=organic&iid=53aaeb94-3407-4a90-9ecd-5600a88cc19c.COMGZUYDGFJGHZR4.SEARCH&ppt=None&ppn=None&ssid=r8evhbaoj40000001763351673103,Samsung Galaxy Book4 Metal Intel Core i5 13th Gen 1335U
ASUS Expertbook P1 High-performance processor Intel Core i5 13th Gen 13420H - (16 GB/512 GB SSD/Window...,51990,4.3,https://www.flipkart.com/asus-expertbook-p1-high-performance-processor-intel-core-i5-13th-gen-13420h-16-gb-512-gb-ssd-windows-11-home-p1503cva-s70611ws-thin-light-laptop/p/itmf788da016f665?pid=COMH8Z2QRZVVN2RZ&lid=LSTCOMH8Z2QRZVVN2RZ9WYQBV&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_10&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_8_L1_view-all&fm=organic&iid=53aaeb94-3407-4a90-9ecd-5600a88cc19c.COMH8Z2QRZVVN2RZ.SEARCH&ppt=None&ppn=None&ssid=r8evhbaoj40000001763351673103,ASUS Expertbook P1 High
